Date,Volume,CloseUSD,currency US Dollar Index,currency Gold Futures,BTC/USD,Gold/BTC Ratio,onchain Active Addresses,onchain Transaction Count,onchain Mempool Size,onchain Hash Rate (GH/s),onchain Mining Difficulty,onchain Transaction Fees (BTC),onchain Median Confirmation Time (min)
2012-01-13,1108840802.5641024,4944.521306774433,81.43000030517578,1630.4000244140625,5.5332786885245895,294.6535166926135,10691.0,6677.0,22589818.0,10.3211337404744,1250757.73927466,4.89613037,13.3333333333333
2012-01-14,1108840802.5641024,4944.521306774433,81.43000030517578,1630.4000244140625,5.5332786885245895,294.6535166926135,10691.0,6807.0,22589818.0,10.3211337404744,1250757.73927466,12.78590354,13.3333333333333
2012-01-16,745005218.1818181,4989.674861734287,81.43000030517578,1630.4000244140625,5.5332786885245895,294.6535166926135,11532.0,6807.0,22589818.0,9.82372970478891,1250757.73927466,12.78590354,13.05
2012-01-17,1181502679.4871793,4993.426073363318,81.18000030517578,1655.199951171875,5.62103825136612,294.46516411262644,11532.0,6807.0,22589818.0,9.82372970478891,1250757.73927466,12.78590354,13.05
2012-01-18,1167992500.0,5006.238715719996,80.5999984741211,1659.5,5.642978142076502,294.0823016176592,11532.0,6647.0,22589818.0,9.82372970478891,1250757.73927466,10.84433779,13.05
2012-01-19,1365998234.8484848,5438.016317658118,80.20999908447266,1654.0999755859375,5.664918032786884,291.9900987114892,11532.0,6647.0,22589818.0,9.82372970478891,1250757.73927466,10.84433779,13.05
2012-01-20,1256754520.4545453,5447.587885549418,80.22000122070312,1663.699951171875,5.686857923497268,292.551699647306,10999.0,6647.0,22589818.0,8.58021961557513,1250757.73927466,10.84433779,12.8666666666667
2012-01-22,1256754520.4545453,5447.587885549418,80.22000122070312,1663.699951171875,5.686857923497268,292.551699647306,10999.0,5325.0,22589818.0,8.58021961557513,1250757.73927466,3.03810531,12.8666666666667
2012-01-23,1383499294.4444444,5897.361993478733,79.69000244140625,1678.0,5.752677595628415,291.6902559036419,10999.0,5325.0,22589818.0,8.58021961557513,1250757.73927466,3.03810531,12.8666666666667
2012-01-24,1371370744.4444444,5884.002063867188,79.86000061035156,1664.199951171875,5.774617486338798,288.19224045729914,11684.0,5325.0,22589818.0,8.77601647007213,1307728.36060407,3.03810531,12.85
2012-01-25,1347012818.8888888,5327.985794437121,79.56999969482422,1699.800048828125,5.79655737704918,293.2430300023067,11684.0,5325.0,22589818.0,8.77601647007213,1307728.36060407,3.03810531,12.85
2012-01-26,1573257970.0,5589.875089199559,79.41000366210938,1726.300048828125,5.818497267759563,296.69173489065577,11684.0,6598.0,22589818.0,8.77601647007213,1307728.36060407,8.95157979,12.85
2012-01-27,1316841245.4545455,5090.527830762274,78.9000015258789,1731.800048828125,5.840437158469945,296.51890806095327,11684.0,6598.0,22589818.0,8.77601647007213,1307728.36060407,8.95157979,12.85
2012-01-28,1316841245.4545455,5090.527830762274,78.9000015258789,1731.800048828125,5.840437158469945,296.51890806095327,10203.0,6598.0,22589818.0,10.076167058231,1307728.36060407,8.95157979,10.8833333333333
2012-01-30,1106521756.4102564,5033.732479056804,79.16000366210938,1731.0,5.906256830601093,293.07902613233165,10203.0,6153.0,22589818.0,10.076167058231,1307728.36060407,29.11896874,10.8833333333333
2012-01-31,1190484187.179487,5041.643477920924,79.27999877929688,1737.800048828125,5.928196721311475,293.1414274058836,10203.0,6153.0,22589818.0,10.076167058231,1307728.36060407,29.11896874,10.8833333333333
2012-02-01,1179896197.4358976,5069.634687586075,78.91999816894531,1747.0999755859375,5.950136612021858,293.62350640085094,11456.0,6153.0,22589818.0,8.77601647007213,1307728.36060407,29.11896874,17.0333333333333
2012-02-02,1172359087.179487,5095.390181808707,78.97000122070312,1756.800048828125,5.97207650273224,294.16904623113663,11456.0,6153.0,22589818.0,8.77601647007213,1307728.36060407,29.11896874,17.0333333333333
2012-02-03,1203091612.820513,5132.083491896566,78.94000244140625,1737.9000244140625,5.994016393442623,289.93915103657423,11456.0,7050.0,22589818.0,8.77601647007213,1307728.36060407,6.90589652,17.0333333333333
2012-02-05,1203091612.820513,5132.083491896566,78.94000244140625,1737.9000244140625,5.994016393442623,289.93915103657423,11451.0,7050.0,22589818.0,9.3272398828152,1379647.43921429,6.90589652,16.4833333333333
