Date,AVG Open,AVG High,AVG Low,AVG Close,AVG Adj Close,AVG Volume,AVG CloseUSD,currency US Dollar Index,currency Gold Futures,BTC/USD,Gold/BTC Ratio,mining Mining Difficulty,onchain Active Addresses,onchain Transaction Count,onchain Mempool Size,onchain Hash Rate (GH/s),onchain Mining Difficulty,onchain Transaction Fees (BTC),onchain Median Confirmation Time (min)
2023-07-08,19356.061808268227,19508.04279727028,19284.322009858628,19402.007664271765,12825.105779012045,1290243102.3809524,8042.2166943115235,102.2699966430664,1926.199951171875,29747.740958904116,0.0647511336687004,50646206431058.0,709055.0,556014.0,66007827.0,390233669.4978951,50646206431058.0,19.24955069,9.183333333333334
2023-07-09,19356.061808268227,19508.04279727028,19284.322009858628,19402.007664271765,12825.105779012045,1290243102.3809524,8042.2166943115235,102.2699966430664,1926.199951171875,29747.740958904116,0.0647511336687004,50646206431058.0,709055.0,556014.0,66007827.0,425480581.581576,50646206431058.0,19.24955069,10.416666666666666
2023-07-10,19419.10605585008,19497.501511346727,19281.15302094959,19382.084928966706,12860.23307800293,1243109159.5238094,8062.029553154937,101.97000122070312,1925.0,29958.26493150685,0.0642560576989722,50646206431058.0,679425.0,556014.0,74245941.0,425480581.581576,50646206431058.0,19.24955069,10.416666666666666
2023-07-11,19415.53440348307,19557.01509893508,19362.01459902809,19499.42449079241,12948.981496175127,1239909447.6190476,8105.52779893363,101.7300033569336,1931.300048828125,30028.439589041096,0.0643156978937045,50646206431058.0,679425.0,432293.0,74245941.0,425480581.581576,50646206431058.0,16.952263900000002,10.416666666666666
2023-07-12,19524.944347563247,19725.031546456477,19444.921770368303,19664.09757777623,12920.426966349283,1279422947.6190476,8160.552872679791,100.5199966430664,1956.199951171875,30098.614246575344,0.0649930237700047,50646206431058.0,679425.0,432293.0,92011394.0,425480581.581576,50646206431058.0,16.952263900000002,10.416666666666666
2023-07-13,19708.270432245165,19918.558396112352,19680.490687779016,19858.30492292132,13089.286880493164,1331082561.904762,8225.173188436454,99.7699966430664,1959.199951171875,30168.78890410959,0.0649412860887164,53911173001055.0,679425.0,432293.0,92011394.0,321592673.5118464,53911173001055.0,16.952263900000002,11.95
2023-07-14,19887.16258312407,19993.443356468564,19799.913986932665,19915.78062511626,13097.433547973633,1307460307.142857,8223.718176416307,99.91000366210938,1960.0999755859373,30238.96356164384,0.0648203425223276,53911173001055.0,760021.0,432293.0,92011394.0,321592673.5118464,53911173001055.0,16.952263900000002,11.95
2023-07-15,19887.16258312407,19993.443356468564,19799.913986932665,19915.78062511626,13097.433547973633,1307460307.142857,8223.718176416307,99.91000366210938,1960.0999755859373,30238.96356164384,0.0648203425223276,53911173001055.0,760021.0,484980.0,99429955.0,321592673.5118464,53911173001055.0,16.740640720000005,11.95
2023-07-17,18888.72053019206,18946.454823811848,18763.971299235025,18875.032116699214,11985.98468017578,1228768083.3333333,9348.944048177083,99.83999633789062,1952.4000244140625,30449.48753424657,0.0641193065143771,53911173001055.0,760021.0,484980.0,106806323.0,364471696.6467593,53911173001055.0,16.740640720000005,9.333333333333332
2023-07-18,19876.44543166388,19963.820420038133,19762.847621372766,19882.99763997396,13051.391255696612,1312776814.2857144,8242.640922273762,99.94000244140624,1977.199951171875,30519.662191780822,0.0647844638235986,53911173001055.0,775244.0,484980.0,106806323.0,364471696.6467593,53911173001055.0,16.740640720000005,9.333333333333332
2023-07-19,19895.5459391276,19975.039039248517,19810.035307384675,19915.603721981955,13050.730667114258,1291948452.3809524,8251.541424793933,100.27999877929688,1977.5,30589.83684931507,0.0646456537097966,53911173001055.0,775244.0,480249.0,106124118.0,364471696.6467593,53911173001055.0,18.163703370000007,9.333333333333332
2023-07-20,19885.83208356585,19988.25030517578,19788.55215599423,19875.837143670946,12971.901809692385,1255453769.047619,8235.638070360748,100.87999725341795,1968.300048828125,30660.01150684932,0.0641976291622857,53911173001055.0,775244.0,480249.0,106124118.0,364471696.6467593,53911173001055.0,18.163703370000007,9.333333333333332
2023-07-21,19836.72896612258,19913.981209891183,19745.58845738002,19840.06436593192,12955.826009114582,1236978319.047619,8239.755835943604,101.06999969482422,1964.300048828125,30730.186164383565,0.0639208639453267,53911173001055.0,775244.0,480249.0,126197202.0,300153161.94439,53911173001055.0,18.163703370000007,12.283333333333331
