# Data Source: Blockchain.com Public Charts API (https://www.blockchain.com/explorer/charts)
Date,Miner Revenue (USD)
2013-07-27,476160.132109155
2013-07-29,
2013-07-30,
2013-07-31,545157.638204102
2013-08-02,
2013-08-03,
2013-08-04,647130.905351311
2013-08-06,
2013-08-07,
2013-08-08,559108.531513066
2013-08-10,
2013-08-11,
2013-08-12,580187.55584265
2013-08-14,
2013-08-15,
2013-08-16,426384.089353921
2013-08-18,
2013-08-19,
2013-08-20,554099.226972841
2013-08-22,
2013-08-23,
2013-08-24,668645.999063105
2013-08-26,
2013-08-27,
2013-08-28,560486.796206609
2013-08-30,
2013-08-31,
2013-09-01,739015.405311809
2013-09-03,
2013-09-04,
2013-09-05,563466.227787724
2013-09-07,
2013-09-08,
2013-09-09,633037.841848355
2013-09-11,
2013-09-12,
2013-09-13,663452.154188786
2013-09-15,
2013-09-16,
2013-09-17,615657.561980414
2013-09-19,
2013-09-20,
2013-09-21,603180.006672738
2013-09-23,
2013-09-24,
2013-09-25,721812.583931176
2013-09-27,
2013-09-28,
2013-09-29,553727.740837207
2013-10-01,
2013-10-02,
2013-10-03,551724.984940021
2013-10-05,
2013-10-06,
2013-10-07,506345.04039156
2013-10-09,
2013-10-10,
2013-10-11,640204.891697548
2013-10-13,
2013-10-14,
2013-10-15,992130.713905087
2013-10-17,
2013-10-18,
2013-10-19,1163078.62582515
2013-10-21,
2013-10-22,
2013-10-23,1152128.03457543
2013-10-25,
2013-10-26,
2013-10-27,863920.64739092
2013-10-29,
2013-10-30,
2013-10-31,1268518.87527203
2013-11-02,
2013-11-03,
2013-11-04,1170149.90952589
2013-11-06,
2013-11-07,
2013-11-08,1006003.80653402
2013-11-10,
2013-11-11,
2013-11-12,1837786.1373951
2013-11-14,
2013-11-15,
2013-11-16,2334241.72723504
2013-11-18,
2013-11-19,
2013-11-20,2338840.68621181
2013-11-22,
2013-11-23,
2013-11-24,3874676.60628557
2013-11-26,
2013-11-27,
2013-11-28,4735006.8924977
2013-11-30,
2013-12-01,
2013-12-02,4151387.47311107
2013-12-04,
2013-12-05,
2013-12-06,6387079.22400915
2013-12-08,
2013-12-09,
2013-12-10,4710243.707226
2013-12-12,
2013-12-13,
2013-12-14,4901088.77099175
2013-12-16,
2013-12-17,
2013-12-18,4072838.85613162
2013-12-20,
2013-12-21,
2013-12-22,2751604.73688907
2013-12-24,
2013-12-25,
2013-12-26,3404782.70383875
2013-12-28,
2013-12-29,
2013-12-30,3632082.20000505
2014-01-01,
2014-01-02,
2014-01-03,3468549.23939752
2014-01-05,
2014-01-06,
2014-01-07,4525042.38885386
2014-01-09,
2014-01-10,
2014-01-11,5777402.51750686
2014-01-13,
2014-01-14,
2014-01-15,4217005.9545048
2014-01-17,
2014-01-18,
2014-01-19,3964756.61727788
2014-01-21,
2014-01-22,
2014-01-23,5241644.13745878
2014-01-25,
2014-01-26,
2014-01-27,6040771.8236915
2014-01-29,
2014-01-30,
2014-01-31,4212641.890744
2014-02-02,
2014-02-03,
2014-02-04,4662961.48683288
2014-02-06,
2014-02-07,
2014-02-08,4306013.7785266
2014-02-10,
2014-02-11,
2014-02-12,4063256.22662555
2014-02-14,
2014-02-15,
2014-02-16,4254676.6144031
2014-02-18,
2014-02-19,
2014-02-20,3495121.25464408
2014-02-22,
2014-02-23,
2014-02-24,3447585.41024301
2014-02-26,
2014-02-27,
2014-02-28,3407746.31205269
2014-03-02,
2014-03-03,
2014-03-04,3372548.86635277
2014-03-06,
2014-03-07,
2014-03-08,4085715.99207135
2014-03-10,
2014-03-11,
2014-03-12,3456434.06040891
2014-03-14,
2014-03-15,
2014-03-16,4518329.04399226
2014-03-18,
2014-03-19,
2014-03-20,3294476.77586909
2014-03-22,
2014-03-23,
2014-03-24,3225418.94807707
2014-03-26,
2014-03-27,
2014-03-28,2543758.8037429
2014-03-30,
2014-03-31,
2014-04-01,2190656.88165462
2014-04-03,
2014-04-04,
2014-04-05,2752160.90149948
2014-04-07,
2014-04-08,
2014-04-09,2150368.59522249
2014-04-11,
2014-04-12,
2014-04-13,2407657.42973614
2014-04-15,
2014-04-16,
2014-04-17,2706076.91605982
2014-04-19,
2014-04-20,
2014-04-21,2803733.6424231
2014-04-23,
2014-04-24,
2014-04-25,3121784.16930471
2014-04-27,
2014-04-28,
2014-04-29,2373811.60726478
2014-05-01,
