# Data Source: Currency metrics data from Yahoo Finance and CoinGecko (US Dollar Index, Gold Futures, BTC/USD, Gold/BTC Ratio)
Date,US Dollar Index,Gold Futures,BTC/USD,Gold/BTC Ratio
2018-01-16,90.38999938964844,1335.4000244140625,13019.196712328767,0.10257161435693501
2018-01-17,90.54000091552734,1338.0,12992.980493150686,0.10297868150462731
2018-01-18,90.5,1326.0,12966.764273972603,0.1022614410182191
2018-01-19,90.56999969482422,1331.9000244140625,12940.54805479452,0.10292454529548219
2018-01-22,90.4000015258789,1330.9000244140625,12861.899397260275,0.10347616501319849
2018-01-23,90.12000274658205,1335.699951171875,12835.683178082192,0.10406146152412628
2018-01-24,89.20999908447266,1355.9000244140625,12809.46695890411,0.10585140105861704
2018-01-25,89.38999938964844,1362.4000244140625,12783.250739726027,0.10657696169411614
2018-01-26,89.06999969482422,1351.5999755859375,12757.034520547946,0.10594938607471001
2018-01-30,89.19000244140625,1335.4000244140625,12652.169643835618,0.10554711658207139
2018-01-31,89.12999725341797,1339.0,12625.953424657535,0.10605139706796589
2018-02-01,88.66999816894531,1344.300048828125,12599.737205479452,0.10669270532432275
2018-02-02,89.19999694824219,1333.699951171875,12573.52098630137,0.10607211397864748
2018-02-05,89.55000305175781,1333.0,12494.872328767124,0.10668376314106187
2018-02-06,89.58999633789062,1326.0999755859375,12468.656109589041,0.10635468361069787
2018-02-07,90.26000213623048,1311.5999755859375,12442.439890410958,0.10541340662587818
2018-02-08,90.2300033569336,1316.9000244140625,12416.223671232878,0.10606284642448778
2018-02-09,90.44000244140624,1313.0999755859375,12390.007452054795,0.10598056382671256
2018-02-12,90.20999908447266,1324.199951171875,12311.358794520549,0.10755920392485356
2018-02-13,89.69999694824219,1328.0999755859375,12285.142575342466,0.10810619147811679
2018-02-14,89.12000274658203,1355.5,12258.926356164384,0.11057248902701734
2018-02-15,88.58999633789062,1352.0999755859375,12232.710136986301,0.110531514312416
2018-02-16,89.0999984741211,1353.199951171875,12206.49391780822,0.11085901982039847
2018-02-20,89.72000122070312,1328.800048828125,12101.62904109589,0.1098034028572233
2018-02-21,90.08000183105467,1330.0,12075.41282191781,0.11014116201360397
2018-02-22,89.75,1330.5999755859375,12049.196602739727,0.11043059711411696
2018-02-23,89.87999725341797,1328.199951171875,12022.980383561644,0.11047177228932764
2018-02-26,89.81999969482422,1330.699951171875,11944.331726027398,0.11140848912226725
2018-02-27,90.36000061035156,1315.5,11918.115506849315,0.110378188501696
2018-02-28,90.61000061035156,1315.5,11891.899287671233,0.11062152211159634
2018-03-01,90.31999969482422,1302.9000244140625,11865.683068493152,0.1098040472590779
2018-03-02,89.94000244140625,1321.0999755859375,11839.46684931507,0.11158441443352368
2018-03-05,90.08000183105467,1318.0999755859375,11760.818191780822,0.11207553369944162
2018-03-06,89.62000274658203,1333.5999755859375,11734.60197260274,0.11364680103334977
2018-03-07,89.63999938964844,1326.0,11708.385753424658,0.11325216199100291
2018-03-08,90.12000274658205,1319.9000244140625,11682.169534246575,0.1129841525193366
2018-03-09,90.08999633789062,1322.4000244140625,11655.953315068495,0.11345275574366794
2018-03-12,89.9000015258789,1319.4000244140625,11577.304657534247,0.11396435210465218
2018-03-13,89.66000366210938,1325.9000244140625,11551.088438356164,0.11478572183824015
2018-03-14,89.69999694824219,1324.4000244140625,11524.872219178083,0.11491667753245723
2018-03-15,90.13999938964844,1316.800048828125,11498.656,0.11451773570999296
2018-03-16,90.2300033569336,1311.300048828125,11472.439780821918,0.11430001585366176
2018-03-19,89.9000015258789,1316.800048828125,11393.791123287672,0.11557172099958271
2018-03-20,90.37000274658205,1311.0999755859375,11367.57490410959,0.11533682308193549
2018-03-21,89.77999877929688,1320.699951171875,11341.358684931507,0.1164498882242918
2018-03-22,89.86000061035156,1326.5999755859375,11315.142465753426,0.117241119994825
2018-03-23,89.44000244140625,1349.300048828125,11288.926246575344,0.11952421508976147
2018-03-26,89.02999877929688,1354.4000244140625,11210.277589041096,0.12081770622148484
2018-03-27,89.37000274658203,1341.300048828125,11184.061369863015,0.11992960378798007
2018-03-28,90.05999755859375,1324.199951171875,11157.845150684932,0.11867882492441545
2018-03-29,90.1500015258789,1322.800048828125,11131.62893150685,0.11883256771918485
2018-04-02,90.05000305175781,1342.0999755859375,11026.764054794521,0.12171294941260506
2018-04-03,90.1999969482422,1332.800048828125,11000.547835616439,0.12115760676144896
2018-04-04,90.13999938964844,1335.800048828125,10974.331616438358,0.12172040134337124
2018-04-05,90.45999908447266,1324.300048828125,10948.115397260275,0.12096146238644197
2018-04-06,90.11000061035156,1331.9000244140625,10921.899178082193,0.12194765788416063
2018-04-09,89.83999633789062,1336.300048828125,10843.250520547947,0.12323795768582843
2018-04-10,89.58999633789062,1342.0,10817.034301369864,0.12406357996202802
2018-04-11,89.56999969482422,1356.5,10790.818082191781,0.1257087265921616
2018-04-12,89.75,1338.4000244140625,10764.601863013699,0.12433344413904399
2018-04-13,89.80000305175781,1344.800048828125,10738.385643835616,0.12523298132807412
2018-04-16,89.43000030517578,1347.5,10659.73698630137,0.12641024837025971
2018-04-17,89.5199966430664,1347.199951171875,10633.52076712329,0.12669368694300637
2018-04-18,89.62000274658203,1351.199951171875,10607.304547945207,0.12738391219601802
2018-04-19,89.94000244140625,1346.800048828125,10581.088328767124,0.12728369776165077
2018-04-20,90.31999969482422,1336.699951171875,10554.872109589041,0.12664293203112245
2018-04-23,90.94000244140624,1322.5,10476.223452054795,0.1262382390040188
2018-04-24,90.7699966430664,1331.4000244140625,10450.007232876713,0.1274066127174871
2018-04-25,91.16999816894533,1321.199951171875,10423.79101369863,0.12674850727874284
2018-04-26,91.55999755859376,1316.300048828125,10397.574794520548,0.12659683386185464
2018-04-27,91.54000091552734,1320.300048828125,10371.358575342467,0.12730251675678161
2018-04-30,91.83999633789062,1316.199951171875,10292.70991780822,0.12787691110332516
2018-05-01,92.4499969482422,1303.800048828125,10266.493698630138,0.12699565081329486
2018-05-02,92.51000213623048,1302.5999755859375,10240.277479452056,0.12720358195368334
2018-05-03,92.41000366210938,1310.699951171875,10214.061260273973,0.12832309477814097
2018-05-04,92.56999969482422,1312.699951171875,10187.84504109589,0.12884961892104613
2018-05-07,92.75,1312.199951171875,10109.196383561644,0.1298025976926926
2018-05-08,93.12000274658205,1312.0,10082.980164383562,0.13012025994402132
2018-05-09,93.04000091552734,1311.300048828125,10056.76394520548,0.1303898605926096
2018-05-10,92.6500015258789,1320.800048828125,10030.547726027398,0.13167775927140005
2018-05-11,92.54000091552734,1319.0,10004.331506849316,0.13184289216095713
2018-05-14,92.58999633789062,1316.5,9925.68284931507,0.1326357108106518
2018-05-15,93.22000122070312,1288.9000244140625,9899.466630136987,0.13019893622250908
2018-05-16,93.38999938964844,1290.199951171875,9873.250410958904,0.13067631200154772
2018-05-17,93.47000122070312,1288.199951171875,9847.034191780822,0.13082111081193534
2018-05-18,93.63999938964844,1290.199951171875,9820.817972602741,0.13137398073878997
2018-05-21,93.68000030517578,1290.199951171875,9742.169315068493,0.13243456456625996
2018-05-22,93.61000061035156,1291.699951171875,9715.95309589041,0.13294629342315678
2018-05-23,94.01000213623048,1289.300048828125,9689.73687671233,0.13305831368101884
2018-05-24,93.77999877929688,1303.699951171875,9663.520657534247,0.1349094183552486
2018-05-25,94.19000244140624,1303.300048828125,9637.304438356165,0.13523491523636344
2018-05-29,94.83000183105467,1298.699951171875,9532.439561643836,0.13624004041919346
2018-05-30,94.1500015258789,1301.5,9506.223342465753,0.13691031160460962
2018-05-31,93.98999786376952,1300.0999755859375,9480.007123287673,0.1371412445874895
2018-06-01,94.19000244140624,1294.800048828125,9453.79090410959,0.1369609357728942
2018-06-04,94.0199966430664,1293.0999755859375,9375.142246575342,0.1379285712766967
2018-06-05,93.88999938964844,1297.5,9348.926027397261,0.13878599490440333
2018-06-06,93.66000366210938,1297.0999755859375,9322.709808219179,0.13913336382543792
2018-06-07,93.4000015258789,1298.699951171875,9296.493589041096,0.13969782679168521
2018-06-08,93.5500030517578,1298.0999755859375,9270.277369863015,0.14002817000988171
2018-06-11,93.58000183105467,1298.9000244140625,9191.628712328768,0.1413133694871555
2018-06-12,93.8000030517578,1295.0999755859375,9165.412493150685,0.14130296662084396
2018-06-13,93.70999908447266,1296.9000244140625,9139.196273972604,0.14190526010558355
2018-06-14,94.7699966430664,1304.0,9112.980054794521,0.14309259892585185
2018-06-15,94.79000091552734,1274.5999755859375,9086.763835616439,0.1402699573405904
2018-06-18,94.75,1276.199951171875,9008.115178082193,0.14167225062541608
2018-06-19,95.08999633789062,1275.5999755859375,8981.89895890411,0.14201896296343713
2018-06-20,95.05999755859376,1271.199951171875,8955.682739726028,0.1419433881386874
2018-06-21,94.87000274658205,1267.199951171875,8929.466520547947,0.14191216779366062
2018-06-22,94.5199966430664,1267.4000244140625,8903.250301369862,0.14235250964684876
2018-06-25,94.27999877929688,1265.5999755859375,8824.601643835616,0.14341723588962413
2018-06-26,94.68000030517578,1256.5999755859375,8798.385424657536,0.14282165589885473
2018-06-27,95.29000091552734,1252.800048828125,8772.169205479453,0.14281530821881266
2018-06-28,95.38999938964844,1247.800048828125,8745.95298630137,0.14267170779245347
2018-06-29,94.62999725341795,1251.300048828125,8719.73676712329,0.1435020439545836
2018-07-02,94.87000274658205,1239.800048828125,8641.088109589042,0.1434773066892253
2018-07-03,94.58999633789062,1251.5999755859375,8614.87189041096,0.14528364339103733
2018-07-05,94.47000122070312,1257.300048828125,8562.439452054794,0.1468390002485099
2018-07-06,94.04000091552734,1254.300048828125,8536.223232876713,0.14693852475615554
2018-07-09,94.08000183105467,1258.0999755859375,8457.574575342467,0.14875422786738998
2018-07-10,94.11000061035156,1253.800048828125,8431.358356164385,0.1487067677429983
2018-07-11,94.72000122070312,1242.800048828125,8405.142136986302,0.14786187176529247
2018-07-12,94.80999755859376,1245.0,8378.92591780822,0.14858706380896972
2018-07-13,94.75,1239.5999755859375,8352.709698630137,0.14840692665150743
2018-07-16,94.51000213623048,1238.0999755859375,8274.06104109589,0.14963631153269236
2018-07-17,94.97000122070312,1225.699951171875,8247.84482191781,0.1486085126037655
2018-07-18,95.08000183105467,1226.300048828125,8221.628602739725,0.14915536909797655
2018-07-19,95.16999816894533,1222.4000244140625,8195.412383561645,0.14915662168092383
2018-07-20,94.45999908447266,1229.5,8169.196164383562,0.15050440401473414
2018-07-23,94.66999816894533,1224.0,8090.547506849316,0.1512876599468433
2018-07-24,94.61000061035156,1223.9000244140625,8064.331287671233,0.15176708157874955
2018-07-25,94.36000061035156,1231.4000244140625,8038.115068493151,0.15319512272731178
2018-07-26,94.75,1225.300048828125,8011.898849315069,0.15293503723313667
2018-07-27,94.68000030517578,1222.5999755859375,7985.6826301369865,0.15309899381325212
2018-07-30,94.36000061035156,1221.300048828125,7907.0339726027405,0.1544574176688547
2018-07-31,94.48999786376952,1223.699951171875,7880.817753424658,0.15527575810773048
2018-08-01,94.62000274658205,1217.9000244140625,7854.601534246576,0.1550556090088006
2018-08-02,95.16999816894533,1210.5999755859375,7828.385315068494,0.15464235942189894
2018-08-03,95.13999938964844,1214.199951171875,7802.169095890412,0.15562338322190722
2018-08-06,95.36000061035156,1208.5999755859375,7723.520438356165,0.15648304231627952
2018-08-07,95.22000122070312,1209.5999755859375,7697.304219178082,0.15714592292872875
2018-08-08,95.0999984741211,1212.5999755859375,7671.088000000001,0.158074053587436
2018-08-09,95.5,1211.9000244140625,7644.871780821918,0.15852457165524472
2018-08-10,96.36000061035156,1211.0999755859375,7618.655561643836,0.15896505174524847
2018-08-13,96.38999938964844,1191.300048828125,7540.006904109589,0.15799720928356462
2018-08-14,96.7300033569336,1193.0,7513.790684931508,0.15877471838448942
2018-08-15,96.6999969482422,1177.5,7487.574465753425,0.15726053949588548
2018-08-16,96.6500015258789,1176.199951171875,7461.358246575343,0.15763885237808195
2018-08-17,96.0999984741211,1176.5,7435.142027397261,0.15823504052307183
2018-08-20,95.9000015258789,1186.800048828125,7356.493369863014,0.16132686990380915
2018-08-21,95.26000213623048,1192.5999755859375,7330.277150684932,0.16269507292428942
2018-08-22,95.1500015258789,1196.300048828125,7304.06093150685,0.16378560639708747
2018-08-23,95.62000274658205,1187.0,7277.844712328768,0.16309773661276475
2018-08-24,95.1500015258789,1206.300048828125,7251.628493150685,0.16634884839557082
2018-08-27,94.77999877929688,1209.0,7172.979835616439,0.16854919820029016
2018-08-28,94.72000122070312,1207.4000244140625,7146.763616438357,0.16894360709467252
2018-08-29,94.5999984741211,1204.5,7120.547397260275,0.16915834314415873
2018-08-30,94.72000122070312,1197.699951171875,7094.331178082192,0.1688249281161482
2018-08-31,95.13999938964844,1200.300048828125,7068.114958904111,0.1698189766022464
2018-09-04,95.41999816894533,1192.699951171875,6963.250082191781,0.17128495129338453
2018-09-05,95.12999725341795,1194.9000244140625,6937.033863013699,0.1722494149531158
2018-09-06,95.0199966430664,1197.9000244140625,6910.817643835617,0.1733369459520579
2018-09-07,95.37000274658205,1193.5999755859375,6884.601424657535,0.17337241504076054
2018-09-10,95.1500015258789,1193.0,6805.952767123288,0.17528772837844014
2018-09-11,95.05999755859376,1195.4000244140625,6779.736547945206,0.17631953925648672
2018-09-12,94.8000030517578,1204.699951171875,6753.520328767124,0.17838103574521952
2018-09-13,94.54000091552734,1202.0,6727.304109589042,0.17867484216845192
2018-09-14,94.9800033569336,1195.0,6701.0878904109595,0.17832925333064298
