Date,Index,Open,High,Low,Close,Adj Close,Volume,CloseUSD,Currency
2019-07-25,HSI,28575.490234375,28628.509765625,28517.009765625,28594.30078125,28594.30078125,974264600.0,28594.30078125,USD
2019-07-26,HSI,28406.0703125,28487.640625,28338.30078125,28397.740234375,28397.740234375,1320699900.0,28397.740234375,USD
2019-07-29,HSI,28262.80078125,28302.66015625,27945.41015625,28106.41015625,28106.41015625,1563572300.0,28106.41015625,USD
2019-07-30,HSI,28059.8203125,28274.650390625,28059.8203125,28146.5,28146.5,1147561000.0,28146.5,USD
2019-07-31,HSI,27931.279296875,27939.720703125,27701.439453125,27777.75,27777.75,1287084400.0,27777.75,USD
2019-08-01,HSI,27582.2109375,27754.0390625,27495.890625,27565.69921875,27565.69921875,1736444000.0,27565.69921875,USD
2019-08-02,HSI,26950.529296875,27043.4609375,26868.9609375,26918.580078125,26918.580078125,2317609200.0,26918.580078125,USD
2019-08-05,HSI,26480.470703125,26502.609375,26086.859375,26151.3203125,26151.3203125,2120745300.0,26151.3203125,USD
2019-08-06,HSI,25472.4296875,26042.23046875,25397.349609375,25976.240234375,25976.240234375,2751867000.0,25976.240234375,USD
2019-08-07,HSI,25977.720703125,26025.439453125,25738.80078125,25997.029296875,25997.029296875,1671335000.0,25997.029296875,USD
2019-08-08,HSI,25999.44921875,26317.419921875,25999.44921875,26120.76953125,26120.76953125,1658129900.0,26120.76953125,USD
2019-08-09,HSI,26278.919921875,26313.779296875,25939.30078125,25939.30078125,25939.30078125,1357616900.0,25939.30078125,USD
2019-08-12,HSI,25869.48046875,26069.23046875,25824.720703125,25824.720703125,25824.720703125,1200393600.0,25824.720703125,USD
2019-08-13,HSI,25536.619140625,25616.7109375,25270.91015625,25281.30078125,25281.30078125,1979089800.0,25281.30078125,USD
2019-08-14,HSI,25711.099609375,25717.98046875,25197.380859375,25302.279296875,25302.279296875,1915522900.0,25302.279296875,USD
2019-08-15,HSI,24945.740234375,25552.130859375,24899.9296875,25495.4609375,25495.4609375,2145864600.0,25495.4609375,USD
2019-08-16,HSI,25484.9609375,25798.109375,25314.26953125,25734.220703125,25734.220703125,2022477500.0,25734.220703125,USD
2019-08-19,HSI,25994.80078125,26356.220703125,25994.80078125,26291.83984375,26291.83984375,2144882700.0,26291.83984375,USD
2019-08-20,HSI,26256.5390625,26347.23046875,26149.400390625,26231.5390625,26231.5390625,1822936100.0,26231.5390625,USD
2019-08-21,HSI,26160.5390625,26318.130859375,26075.91015625,26270.0390625,26270.0390625,1701479200.0,26270.0390625,USD
2019-08-22,HSI,26272.91015625,26288.240234375,25977.669921875,26048.720703125,26048.720703125,1780728400.0,26048.720703125,USD
2019-08-23,HSI,26057.880859375,26241.220703125,25940.439453125,26179.330078125,26179.330078125,1621440900.0,26179.330078125,USD
2019-08-26,HSI,25322.0,25692.279296875,25249.509765625,25680.330078125,25680.330078125,2475604900.0,25680.330078125,USD
2019-08-27,HSI,25715.98046875,25764.609375,25581.73046875,25664.0703125,25664.0703125,2214167200.0,25664.0703125,USD
2019-08-28,HSI,25767.080078125,25830.640625,25596.080078125,25615.48046875,25615.48046875,1462114400.0,25615.48046875,USD
2019-08-29,HSI,25606.330078125,25714.779296875,25372.490234375,25703.5,25703.5,1784869100.0,25703.5,USD
2019-08-30,HSI,26011.640625,26011.640625,25536.150390625,25724.73046875,25724.73046875,2017892000.0,25724.73046875,USD
2019-09-02,HSI,25627.830078125,25662.310546875,25502.69921875,25626.55078125,25626.55078125,1295066700.0,25626.55078125,USD
2019-09-03,HSI,25546.3203125,25736.05078125,25498.109375,25527.849609375,25527.849609375,1149210200.0,25527.849609375,USD
2019-09-04,HSI,25675.16015625,26654.2109375,25675.16015625,26523.23046875,26523.23046875,2688524600.0,26523.23046875,USD
2019-09-05,HSI,26512.859375,26697.849609375,26283.119140625,26515.529296875,26515.529296875,1996619100.0,26515.529296875,USD
2019-09-06,HSI,26773.130859375,26790.7890625,26563.169921875,26690.759765625,26690.759765625,1895344700.0,26690.759765625,USD
2019-09-09,HSI,26743.359375,26807.859375,26609.650390625,26681.400390625,26681.400390625,1700948300.0,26681.400390625,USD
2019-09-10,HSI,26831.98046875,26870.76953125,26634.470703125,26683.6796875,26683.6796875,1738020300.0,26683.6796875,USD
2019-09-11,HSI,26790.640625,27159.509765625,26705.630859375,27159.060546875,27159.060546875,2072246200.0,27159.060546875,USD
