Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
399001.SZ,2019-10-24,9570.330078125,9598.330078125,9495.009765625,9555.759765625,9555.759765625,79800.0,
399001.SZ,2019-10-25,9562.2998046875,9665.599609375,9509.33984375,9660.4404296875,9660.4404296875,90400.0,
399001.SZ,2019-10-28,9721.6396484375,9802.150390625,9704.5302734375,9801.8701171875,9801.8701171875,129600.0,
399001.SZ,2019-10-29,9812.48046875,9818.740234375,9746.0302734375,9746.0302734375,9746.0302734375,136400.0,
399001.SZ,2019-10-30,9707.1796875,9726.9501953125,9647.0,9681.5400390625,9681.5400390625,110300.0,
399001.SZ,2019-10-31,9709.099609375,9720.9697265625,9626.9296875,9635.330078125,9635.330078125,101000.0,
399001.SZ,2019-11-01,9621.8896484375,9814.669921875,9604.3095703125,9802.330078125,9802.330078125,97200.0,
399001.SZ,2019-11-04,9828.599609375,9908.2001953125,9828.599609375,9868.1298828125,9868.1298828125,107600.0,
399001.SZ,2019-11-05,9885.01953125,9982.33984375,9847.2001953125,9938.6103515625,9938.6103515625,111600.0,
399001.SZ,2019-11-06,9947.3095703125,9947.3095703125,9829.75,9860.9697265625,9860.9697265625,104600.0,
399001.SZ,2019-11-07,9849.9599609375,9939.5302734375,9835.8896484375,9917.490234375,9917.490234375,97000.0,
399001.SZ,2019-11-08,9985.2001953125,10008.509765625,9891.0,9895.33984375,9895.33984375,107700.0,
399001.SZ,2019-11-11,9821.41015625,9821.41015625,9664.0595703125,9680.5703125,9680.5703125,99900.0,
399001.SZ,2019-11-12,9675.5595703125,9699.419921875,9570.4404296875,9670.1396484375,9670.1396484375,89000.0,
399001.SZ,2019-11-13,9678.650390625,9702.509765625,9622.3095703125,9687.849609375,9687.849609375,76500.0,
399001.SZ,2019-11-14,9689.9296875,9768.669921875,9677.759765625,9746.5595703125,9746.5595703125,95400.0,
399001.SZ,2019-11-15,9741.9296875,9777.6904296875,9647.990234375,9647.990234375,9647.990234375,95400.0,
399001.SZ,2019-11-18,9635.8095703125,9725.7802734375,9624.9501953125,9715.26953125,9715.26953125,86100.0,
399001.SZ,2019-11-19,9721.009765625,9889.75,9711.2900390625,9889.75,9889.75,99200.0,
399001.SZ,2019-11-20,9885.900390625,9908.6298828125,9796.9501953125,9809.0498046875,9809.0498046875,100800.0,
399001.SZ,2019-11-21,9772.0302734375,9818.490234375,9733.4404296875,9774.4404296875,9774.4404296875,81400.0,
399001.SZ,2019-11-22,9794.3203125,9875.7099609375,9573.4697265625,9626.900390625,9626.900390625,110800.0,
399001.SZ,2019-11-25,9626.41015625,9643.23046875,9515.330078125,9626.3603515625,9626.3603515625,107200.0,
399001.SZ,2019-11-26,9662.41015625,9698.599609375,9609.73046875,9677.23046875,9677.23046875,112200.0,
399001.SZ,2019-11-27,9643.1103515625,9694.2197265625,9589.2099609375,9648.3896484375,9648.3896484375,96800.0,
399001.SZ,2019-11-28,9650.26953125,9679.9599609375,9594.3701171875,9622.1396484375,9622.1396484375,79400.0,
399001.SZ,2019-11-29,9614.7099609375,9633.1396484375,9490.849609375,9582.16015625,9582.16015625,84800.0,
399001.SZ,2019-12-02,9603.01953125,9647.9501953125,9582.3203125,9605.1904296875,9605.1904296875,86100.0,
399001.SZ,2019-12-03,9585.75,9657.650390625,9531.259765625,9657.650390625,9657.650390625,85700.0,
399001.SZ,2019-12-04,9624.1904296875,9703.400390625,9614.0400390625,9687.9501953125,9687.9501953125,94100.0,
399001.SZ,2019-12-05,9719.2998046875,9817.2099609375,9703.91015625,9799.0703125,9799.0703125,107700.0,
399001.SZ,2019-12-06,9804.0400390625,9878.6201171875,9791.5595703125,9878.6201171875,9878.6201171875,100600.0,
399001.SZ,2019-12-09,9908.9697265625,9917.6103515625,9853.2001953125,9876.26953125,9876.26953125,118600.0,
399001.SZ,2019-12-10,9850.0400390625,9915.8701171875,9826.830078125,9915.8701171875,9915.8701171875,115200.0,
399001.SZ,2019-12-11,9905.91015625,9921.650390625,9829.1103515625,9852.7099609375,9852.7099609375,119000.0,
399001.SZ,2019-12-12,9862.4296875,9887.5595703125,9824.41015625,9836.23046875,9836.23046875,107300.0,
399001.SZ,2019-12-13,9923.7900390625,10014.2099609375,9907.759765625,10004.6201171875,10004.6201171875,144500.0,
399001.SZ,2019-12-16,10040.259765625,10158.240234375,10015.4501953125,10158.240234375,10158.240234375,172800.0,
399001.SZ,2019-12-17,10157.4296875,10350.650390625,10148.6904296875,10306.0302734375,10306.0302734375,209600.0,
399001.SZ,2019-12-18,10299.0498046875,10365.16015625,10266.6396484375,10294.66015625,10294.66015625,172900.0,
399001.SZ,2019-12-19,10298.509765625,10316.76953125,10254.9501953125,10296.2900390625,10296.2900390625,143600.0,
399001.SZ,2019-12-20,10305.099609375,10343.0703125,10229.099609375,10229.490234375,10229.490234375,147300.0,
399001.SZ,2019-12-23,10202.23046875,10248.7998046875,10050.41015625,10056.2099609375,10056.2099609375,137000.0,
399001.SZ,2019-12-24,10080.3701171875,10190.0400390625,10065.5498046875,10189.2900390625,10189.2900390625,112600.0,
399001.SZ,2019-12-25,10176.7197265625,10255.2001953125,10170.2099609375,10229.580078125,10229.580078125,122500.0,
399001.SZ,2019-12-26,10239.759765625,10303.7197265625,10221.33984375,10303.7197265625,10303.7197265625,125900.0,
399001.SZ,2019-12-27,10326.51953125,10377.9404296875,10226.6201171875,10233.76953125,10233.76953125,164800.0,
399001.SZ,2019-12-30,10203.8203125,10365.9599609375,10133.8798828125,10365.9599609375,10365.9599609375,152000.0,
399001.SZ,2019-12-31,10360.7802734375,10433.2900390625,10352.8896484375,10430.76953125,10430.76953125,128700.0,
399001.SZ,2020-01-02,10509.1201171875,10663.5498046875,10479.76953125,10638.8203125,10638.8203125,183700.0,
399001.SZ,2020-01-03,10666.66015625,10689.58984375,10594.3603515625,10656.41015625,10656.41015625,159000.0,
399001.SZ,2020-01-06,10599.41015625,10799.580078125,10577.7802734375,10698.26953125,10698.26953125,187700.0,
399001.SZ,2020-01-07,10725.1796875,10829.0498046875,10723.8603515625,10829.0498046875,10829.0498046875,171800.0,
399001.SZ,2020-01-08,10776.7099609375,10851.2802734375,10681.01953125,10706.8701171875,10706.8701171875,202900.0,
399001.SZ,2020-01-09,10807.0400390625,10899.48046875,10807.0400390625,10898.169921875,10898.169921875,170000.0,
399001.SZ,2020-01-10,10927.98046875,10933.8095703125,10833.51953125,10879.83984375,10879.83984375,145700.0,
399001.SZ,2020-01-13,10894.0,11040.2001953125,10851.7197265625,11040.2001953125,11040.2001953125,151200.0,
399001.SZ,2020-01-14,11074.8896484375,11086.8095703125,10983.419921875,10988.76953125,10988.76953125,164700.0,
399001.SZ,2020-01-15,10978.2802734375,11001.8095703125,10882.7900390625,10972.3203125,10972.3203125,139100.0,
399001.SZ,2020-01-16,10986.650390625,11008.2099609375,10934.7197265625,10967.4404296875,10967.4404296875,140500.0,
399001.SZ,2020-01-17,11001.6796875,11045.25,10927.83984375,10954.3896484375,10954.3896484375,132800.0,
399001.SZ,2020-01-20,10981.5,11115.8798828125,10936.7998046875,11115.8798828125,11115.8798828125,151900.0,
399001.SZ,2020-01-21,11077.66015625,11078.0400390625,10948.580078125,10953.41015625,10953.41015625,100.0,
399001.SZ,2020-01-22,10896.5498046875,11105.6904296875,10761.6796875,11072.0595703125,11072.0595703125,159200.0,
399001.SZ,2020-01-23,10947.8603515625,11026.0,10572.26953125,10681.900390625,10681.900390625,1860300.0,
399001.SZ,2020-02-03,9779.669921875,9779.669921875,9779.669921875,9779.669921875,9779.669921875,0.0,
399001.SZ,2020-02-04,9578.8701171875,10095.6904296875,9578.8701171875,10089.669921875,10089.669921875,2393200.0,
399001.SZ,2020-02-05,10305.5,10305.5,10305.5,10305.5,10305.5,0.0,
399001.SZ,2020-02-06,10306.1201171875,10633.169921875,10214.8095703125,10601.33984375,10601.33984375,2280800.0,
399001.SZ,2020-02-07,10569.650390625,10629.150390625,10441.900390625,10611.5498046875,10611.5498046875,2161300.0,
399001.SZ,2020-02-10,10728.4599609375,10728.4599609375,10728.4599609375,10728.4599609375,10728.4599609375,0.0,
399001.SZ,2020-02-11,10749.9697265625,10839.1904296875,10678.1103515625,10768.6298828125,10768.6298828125,1810500.0,
399001.SZ,2020-02-12,10940.7998046875,10940.7998046875,10940.7998046875,10940.7998046875,10940.7998046875,0.0,
399001.SZ,2020-02-13,10864.3203125,10864.3203125,10864.3203125,10864.3203125,10864.3203125,0.0,
399001.SZ,2020-02-14,10854.4599609375,11017.650390625,10822.1298828125,10916.3095703125,10916.3095703125,1870400.0,
399001.SZ,2020-02-17,10974.9296875,11241.5,10974.9296875,11241.5,11241.5,2168300.0,
399001.SZ,2020-02-18,11306.490234375,11306.490234375,11306.490234375,11306.490234375,11306.490234375,0.0,
399001.SZ,2020-02-19,11300.16015625,11387.990234375,11229.5498046875,11235.599609375,11235.599609375,2339600.0,
399001.SZ,2020-02-20,11509.08984375,11509.08984375,11509.08984375,11509.08984375,11509.08984375,0.0,
399001.SZ,2020-02-21,11506.669921875,11727.8896484375,11493.6298828125,11629.7001953125,11629.7001953125,2674700.0,
399001.SZ,2020-02-24,11620.6298828125,11809.75,11548.41015625,11772.3798828125,11772.3798828125,2774300.0,
