,Gold/BTC Ratio,S2F Model,Onchain Mining Difficulty,BTC/USD
2015-05-29,0.7228043277021945,3.68673248681795e-05,7.396466405037739e-05,0.0005567049078959
2015-05-30,0.7379573026640945,3.713023502058369e-05,7.396466405037739e-05,0.0005213075609168
2015-05-31,0.7531102776259944,3.738472452312347e-05,7.396466405037739e-05,0.000491534479068
2015-06-01,0.7682632525878944,3.763597429466616e-05,6.844939314302442e-05,0.000422985516925
2015-06-02,0.7621480916490264,3.788607564165824e-05,6.293412223567151e-05,0.0004501351704626
2015-06-03,0.7558812121296182,3.814851373623189e-05,6.293412223567151e-05,0.0004508051749596
2015-06-04,0.7548030131535169,3.840000940381021e-05,6.293412223567151e-05,0.0004361782553781
2015-06-05,0.7481154677888404,3.8652612159786805e-05,6.293412223567151e-05,0.0004421044761134
2015-06-06,0.7453773031766027,3.894086887673353e-05,6.293412223567151e-05,0.0004483988897349
2015-06-07,0.7426391385643648,3.923286089937744e-05,6.293412223567151e-05,0.0004225608783559
2015-06-08,0.7399009739521268,3.950059580801115e-05,6.293412223567151e-05,0.0004754824499855
2015-06-09,0.7406784668250073,3.977927024009797e-05,6.293412223567151e-05,0.0004807576734436
2015-06-10,0.7470447237154367,4.007291916379796e-05,6.293412223567151e-05,0.0004784455603532
2015-06-11,0.7401886711895785,4.0348129403257966e-05,6.293412223567151e-05,0.0004869576269425
2015-06-12,0.7386002572016199,4.059363157725025e-05,6.293412223567151e-05,0.0004895715516439
2015-06-13,0.7327784357245763,4.086841218141373e-05,7.245667944136839e-05,0.0005124085822097
2015-06-14,0.7269566142475327,4.1145883199379e-05,8.197923664706526e-05,0.0005231760282183
2015-06-15,0.7211347927704892,4.1408254161652384e-05,8.197923664706526e-05,0.0005541287096459
2015-06-16,0.6777156563064488,4.16450547493165e-05,8.197923664706526e-05,0.0006869233705759
2015-06-17,0.6797371498478749,4.18929534193107e-05,8.197923664706526e-05,0.0006717206186316
2015-06-18,0.6950935358598184,4.2178041319820587e-05,8.197923664706526e-05,0.0006691066939303
2015-06-19,0.707664709840985,4.244784601725428e-05,8.197923664706526e-05,0.0006275753427451
2015-06-20,0.7018976939659247,4.270645433538669e-05,8.197923664706526e-05,0.0006332940679979
2015-06-21,0.6961306780908646,4.293769249912965e-05,8.197923664706526e-05,0.0006213281591848
2015-06-22,0.6903636622158045,4.318512322792027e-05,8.197923664706526e-05,0.0006500726912545
2015-06-23,0.693570968517706,4.345461487467029e-05,8.197923664706526e-05,0.0006246499588287
2015-06-24,0.7023635475395404,4.372767572878805e-05,8.197923664706526e-05,0.0005889693754762
2015-06-25,0.6950664984064079,4.400290907845478e-05,8.197923664706526e-05,0.0006105229867249
2015-06-26,0.6936185311064953,4.428020690164361e-05,8.197923664706526e-05,0.0006180252227666
2015-06-27,0.6824919358380964,4.4539847098649054e-05,8.197923664706526e-05,0.0006878198777753
2015-06-28,0.6713653405696975,4.478455716780595e-05,8.197923664706526e-05,0.0006691444203816
2015-06-29,0.6602387453012986,4.504019903018338e-05,8.066428286978184e-05,0.0007451388848952
