,Global averaged stocks(USD),Currency US Dollar Index,Gold/BTC Ratio,S2F Model,BTC/USD
2015-04-17,0.0631627894714941,0.3499215834698073,0.7779010160552791,2.622821924454753e-05,0.0004225703819658
2015-04-18,0.0651812782016537,0.3554075517041863,0.7738585770577394,2.646594680352049e-05,0.0004270434143529
2015-04-19,0.0671997669318132,0.3608935199385663,0.7698161380601997,2.671301058165663e-05,0.0004199092272032
2015-04-20,0.0692182556619729,0.3663794881729454,0.7657736990626601,2.6980077065078564e-05,0.0004390281863916
2015-04-21,0.0677493421808026,0.3679469219045503,0.7367543164994681,2.7248718400964213e-05,0.0005394639196189
2015-04-22,0.0701978980723941,0.3695140566787387,0.7303162536407299,2.7516087188921338e-05,0.000529149479015
2015-04-23,0.0711195421486879,0.3405172800375968,0.7278138171194845,2.776052944078645e-05,0.0005507220974835
2015-04-24,0.072401747619225,0.3264106754105738,0.7322189406921911,2.7985020829992903e-05,0.0005017073734822
2015-04-25,0.0718514243326179,0.3244514081591858,0.7402546256196832,2.8235261127721053e-05,0.0004556746230743
2015-04-26,0.0713011010460108,0.3224921409077987,0.7482903105471752,2.8505606889248395e-05,0.0003899944551706
2015-04-27,0.0707507777594036,0.3205328736564108,0.7563259954746674,2.8748002922764884e-05,0.0004830035492529
2015-04-28,0.0722531568458405,0.2938870981339678,0.7747303849111911,2.900524060065558e-05,0.0004506259023186
2015-04-29,0.0698795281785408,0.255877951232871,0.7721990825619445,2.9251034836327123e-05,0.0004501824005238
2015-04-30,0.0636944154489086,0.235501611679429,0.721437305956347,2.9478152434191888e-05,0.0005477306202802
2015-05-01,0.0692164908741953,0.2629312535463817,0.729210900334632,2.9724860249343943e-05,0.0005093605153294
2015-05-02,0.0696469320544359,0.2652823543175526,0.7246032352636402,2.998925413615045e-05,0.000536264802939
2015-05-03,0.0700773732346765,0.2676334550887227,0.7199955701926486,3.0239984519956167e-05,0.0005874878202923
2015-05-04,0.0705078144149172,0.2699845558598941,0.715387905121657,3.04795483158725e-05,0.0005748425473664
2015-05-05,0.0656039593994231,0.256269585447709,0.7281341712205825,3.0725634509698094e-05,0.0005475041175779
2015-05-06,0.0632410937588172,0.2170846390298466,0.7464933053715387,3.100463422314151e-05,0.0004876842211167
2015-05-07,0.0656501706941956,0.23628547802394,0.7178049772749713,3.126927939077397e-05,0.0005589509276993
2015-05-08,0.0729023590855088,0.2429468471651961,0.7024687797540133,3.1531717102641e-05,0.0006205638385593
2015-05-09,0.0721890253294977,0.2458204258469014,0.702949894019488,3.177014148309827e-05,0.0006013976493096
2015-05-10,0.0714756915734871,0.2486940045286081,0.7034310082849627,3.200249564231988e-05,0.0005869027723079
2015-05-11,0.0707623578174762,0.251567583210313,0.7039121225504374,3.225481942928816e-05,0.0006044740830255
2015-05-12,0.0695504715142554,0.2327586773884755,0.7126268547111478,3.252652670528416e-05,0.0005946031442163
2015-05-13,0.0695004909813896,0.1971005316060776,0.7427791540207453,3.280302294305493e-05,0.0005499199064125
2015-05-14,0.0753203797910447,0.1869123618293562,0.745318387354833,3.308260628389736e-05,0.0005551290365836
2015-05-15,0.0757177402785793,0.1782916257842401,0.7432485935744819,3.33519227714892e-05,0.0005615082627236
2015-05-16,0.0761376980384201,0.1920063968914811,0.7485056811678369,3.3598001358305855e-05,0.000547806073183
2015-05-17,0.076557655798261,0.2057211679987212,0.7537627687611916,3.386630918573362e-05,0.0005539305737792
2015-05-18,0.0769776135581018,0.2194359391059612,0.7590198563545465,3.414332631976097e-05,0.0005192598209742
2015-05-19,0.0770913879010071,0.2617554540296174,0.749855110980316,3.438933936711624e-05,0.0005081149664578
2015-05-20,0.0765273856934973,0.2688087563431298,0.7444247014724826,3.463153083250911e-05,0.0005276585642153
2015-05-21,0.0769599765740762,0.2613638198147785,0.7374413128588063,3.48997199626248e-05,0.0005401716505673
2015-05-22,0.075729538211686,0.2907525296281754,0.7219525406669901,3.5160602210165424e-05,0.0005873935041639
2015-05-23,0.0743513669588586,0.3033896838166581,0.7218142776724573,3.538219125332994e-05,0.0005734646679268
2015-05-24,0.0729731957060316,0.3160268380051407,0.7216760146779244,3.561247682770262e-05,0.0005931027258068
2015-05-25,0.0715950244532044,0.3286639921936238,0.7215377516833917,3.587086730259234e-05,0.0005568370944698
2015-05-26,0.0702168532003773,0.3413011463821065,0.721399488688859,3.61230676776231e-05,0.0005568936841468
2015-05-27,0.0745738745610635,0.3440440806730613,0.720095916073287,3.637155358377452e-05,0.0005584696994532
2015-05-28,0.0735591760576254,0.3283700423144329,0.7210567001811831,3.661461980646876e-05,0.000559649299032
2015-05-29,0.0703600951416698,0.326019041195734,0.7228043277021945,3.68673248681795e-05,0.0005567049078959
2015-05-30,0.0706768273415155,0.3322885768172074,0.7379573026640945,3.713023502058369e-05,0.0005213075609168
2015-05-31,0.0709935595413613,0.3385581124386814,0.7531102776259944,3.738472452312347e-05,0.000491534479068
2015-06-01,0.071310291741207,0.3448276480601553,0.7682632525878944,3.763597429466616e-05,0.000422985516925
2015-06-02,0.0705330007688809,0.2840908615295019,0.7621480916490264,3.788607564165824e-05,0.0004501351704626
2015-06-03,0.0724748991619873,0.269592622687639,0.7558812121296182,3.814851373623189e-05,0.0004508051749596
2015-06-04,0.0677718813530998,0.269200689515384,0.7548030131535169,3.840000940381021e-05,0.0004361782553781
2015-06-05,0.066728216363853,0.3025078341790843,0.7481154677888404,3.8652612159786805e-05,0.0004421044761134
2015-06-06,0.0657633640370094,0.2893156406348502,0.7453773031766027,3.894086887673353e-05,0.0004483988897349
2015-06-07,0.0647985117101658,0.2761234470906157,0.7426391385643648,3.923286089937744e-05,0.0004225608783559
2015-06-08,0.0638336593833222,0.2629312535463817,0.7399009739521268,3.950059580801115e-05,0.0004754824499855
2015-06-09,0.0636044984222579,0.2578370191793149,0.7406784668250073,3.977927024009797e-05,0.0004807576734436
