,Currency US Dollar Index,Gold/BTC Ratio,S2F Model,Onchain Mining Difficulty,BTC/USD
2015-06-26,0.260077146833133,0.6927785842455942,4.4252093561155286e-05,8.101205916103251e-05,0.0006449321564069
2015-06-27,0.2587105193418538,0.6824172128044341,4.451752961272152e-05,8.13442642382604e-05,0.0006634338122429
2015-06-28,0.2609220068547533,0.6720840777936151,4.478213116268459e-05,8.108400795529235e-05,0.000678156655246
2015-06-29,0.267755316849973,0.6601926707885516,4.504558379258068e-05,8.017985123792023e-05,0.0006884999754016
2015-06-30,0.2765725477032934,0.6424286225455902,4.531102334398753e-05,7.93309863202142e-05,0.0007032720835003
2015-07-01,0.2893574714050761,0.6515843989391042,4.5577690368359445e-05,7.831462853596253e-05,0.0007200245581318
2015-07-02,0.2968700750032228,0.6552132622193595,4.584589031367372e-05,7.786106766097453e-05,0.0007408888192072
2015-07-03,0.2985981389880004,0.6481539604728899,4.6116087360183774e-05,7.811233390305203e-05,0.0007671330137708
2015-07-04,0.3008704408024775,0.6420077012783072,4.638765439184216e-05,7.856163975580555e-05,0.0007960938330244
2015-07-05,0.3015435298279991,0.6350005661592922,4.666084241133344e-05,7.943259544531188e-05,0.0008287061422001
2015-07-06,0.3023924728718313,0.6277245881146967,4.693627594637033e-05,8.047143742869291e-05,0.0008660230797581
2015-07-07,0.3041306496070353,0.6222484338136992,4.721400773426292e-05,8.164383792237827e-05,0.0009079968809919
2015-07-08,0.3025472273277854,0.6180564804033809,4.749403073629143e-05,8.327873866981605e-05,0.00095506421557
2015-07-09,0.3015935532882652,0.6186445153417837,4.777656117898777e-05,8.532946553843554e-05,0.0010075814459445
2015-07-10,0.3027019715339125,0.5852019037564438,4.805374506368561e-05,8.685612207675292e-05,0.0010408797792535
2015-07-11,0.3071241845618261,0.580107567735588,4.832489773765723e-05,8.78261100735988e-05,0.0010527436567227
2015-07-12,0.3129956000580878,0.5744628829139443,4.859394556593387e-05,8.866529323635357e-05,0.0010551619952436
2015-07-13,0.3214220520703524,0.5700815345482687,4.885870726573641e-05,8.913290525493168e-05,0.0010411962138798
2015-07-14,0.3294635335680271,0.5772089929737577,4.912381299667772e-05,8.98658086019865e-05,0.0010252946834218
2015-07-15,0.3369822401733355,0.5781738533926793,4.938956606619414e-05,9.091029502676845e-05,0.0010082510925803
2015-07-16,0.3463953321259528,0.5912490995538533,4.965173870349973e-05,9.174788820267053e-05,0.0009766705824778
2015-07-17,0.3570985212431799,0.5825162247715168,4.991126823477984e-05,9.251933689563097e-05,0.000933364061581
2015-07-18,0.3631240538866591,0.5792823691980457,5.017632924897726e-05,9.343837230700594e-05,0.0009116269792008
