,Global averaged stocks(USD),Currency US Dollar Index,Volatility_CBOE SKEW Index,Gold/BTC Ratio,BTC Volume,S2F Model,Onchain Hash Rate (GH/s),Onchain Mining Difficulty,BTC/USD
2015-02-16,0.0661238868238539,0.2179470827653952,0.233835877467096,0.7240058931532208,7.382782946517585e-05,1.1244241578672146e-05,0.0001319467469545,3.249608983068819e-05,0.0005957915429616
2015-02-17,0.0670809242078857,0.2175013288863963,0.2355295169395652,0.7146396777294628,7.233698180848875e-05,1.149738054861019e-05,0.0001329936690824,3.441757666444026e-05,0.0006061746437124
2015-02-18,0.0680440629165774,0.2181324950281821,0.2461860500365631,0.7303631068257173,6.862812464236102e-05,1.1752681537920995e-05,0.0001313852548276,3.661066024359118e-05,0.0006110447782155
2015-02-19,0.0691968675135727,0.2201360596209827,0.2674213207086823,0.7228819433499227,6.099605944711558e-05,1.2012297132417398e-05,0.0001251374760035,3.9134067302894704e-05,0.0006039235746147
2015-02-20,0.0700963643455185,0.2221717444117106,0.2586359329382111,0.7119569713701621,5.359292664296016e-05,1.2269749446604242e-05,0.0001195448655289,4.1339271667086144e-05,0.0005994083617518
2015-02-21,0.0706813645073166,0.2243030405772074,0.2875794407187471,0.7162938575300144,4.6623467552166495e-05,1.2524645279745231e-05,0.0001148411615323,4.322655211306884e-05,0.0005985357016382
2015-02-22,0.0713202415773419,0.2281090330456785,0.2991756993778205,0.7195737910211825,3.651778524448001e-05,1.2781996225595594e-05,0.0001066568634465,4.515704901595623e-05,0.0005884430573601
2015-02-23,0.0719001003288295,0.233425798916882,0.315072083896481,0.7236578643233452,2.4112409326825177e-05,1.3040374326715851e-05,9.60706181931948e-05,4.698873124048442e-05,0.000572197636194
2015-02-24,0.0722976857927077,0.2365281908139979,0.3256069336238278,0.7227756998113445,1.8335118853971752e-05,1.3295627126938572e-05,9.089838736743532e-05,4.86258872948848e-05,0.0005739783866148
2015-02-25,0.0725365241046248,0.2373855088510984,0.3297866315680642,0.7284930267964211,1.9589185341017648e-05,1.3547901641275568e-05,9.13439457261306e-05,5.007905813927948e-05,0.0005944601251487
2015-02-26,0.0725857953699288,0.2519531341907436,0.2710605100532034,0.7363841959971645,2.419254698706844e-05,1.379814083107565e-05,9.441409587759451e-05,5.128180144555488e-05,0.0006242263774944
2015-02-27,0.0724159497525328,0.2515028730539995,0.2622531204998257,0.6886935918744966,3.454102717688131e-05,1.4045294176466356e-05,0.000102160798319,5.219988700944457e-05,0.0006696217416747
2015-02-28,0.0721641722806285,0.2591626436448521,0.2366336689790744,0.6688377724786375,4.4504679799350566e-05,1.4292980100628057e-05,0.0001088771739035,5.297687775461487e-05,0.0007133483609729
2015-03-01,0.0718201603348516,0.2654062294640136,0.2357595347935465,0.6507763373200808,5.380382275956387e-05,1.454124339248477e-05,0.0001143151828867,5.358986038074304e-05,0.0007546317783274
2015-03-02,0.0712861714862962,0.2719050228471923,0.2341620597418791,0.6314289984602742,6.759355658847805e-05,1.4787354923659631e-05,0.0001230995725234,5.39253472561102e-05,0.0008075947558879
2015-03-03,0.0705834224420254,0.2785692738978694,0.2393775022653868,0.6163882184662643,8.46343065052096e-05,1.5032026821125342e-05,0.0001340571768227,5.399731732736656e-05,0.0008686850028367
2015-03-04,0.0698359207635581,0.2915548869596346,0.2359709012066775,0.6326161843142992,9.495597345990168e-05,1.5278509062668123e-05,0.0001396375629672,5.4386662472889246e-05,0.0009153722686532
2015-03-05,0.0690406176357592,0.311475323268023,0.2214133782762358,0.6227110964056247,9.825970398725466e-05,1.5526778220062434e-05,0.0001396813790453,5.512823339668941e-05,0.000947240627342
2015-03-06,0.0681480932828341,0.3294795640321482,0.2092830805552838,0.6143889647220176,9.846377750952902e-05,1.5775752365067122e-05,0.0001369831139486,5.5946242755891536e-05,0.0009726088031038
2015-03-07,0.0671873113020808,0.3432174971539118,0.195548852209261,0.6025040412474089,9.294508164915128e-05,1.6026251913168204e-05,0.0001295658850845,5.699589982582427e-05,0.0009856073927312
2015-03-08,0.0660482648931402,0.3578782645086899,0.1850124798275499,0.5903768363099654,8.887864021925081e-05,1.6275599628369187e-05,0.0001230409647774,5.788724540366176e-05,0.0010030742389292
2015-03-09,0.0647221356588979,0.3701990703656019,0.179564655796743,0.5800365873248307,8.659319420626956e-05,1.6523683035494173e-05,0.0001176356301609,5.859284123158658e-05,0.0010257111997378
2015-03-10,0.0632858550758634,0.3970833244355516,0.1737987985235982,0.571785559115575,8.023870864417544e-05,1.6772532582251566e-05,0.0001088358216864,5.943970584717223e-05,0.0010400465617831
2015-03-11,0.0617127619132247,0.4397587104445077,0.1693993228630776,0.5590609009227853,7.129414261734446e-05,1.7021579261502932e-05,9.779087036084574e-05,6.034351508409742e-05,0.0010495509404556
2015-03-12,0.0608780059279484,0.428804796264952,0.1681599348354782,0.5625580983148529,6.595052340124501e-05,1.7267443786706025e-05,9.129155604560972e-05,6.1003549341401393e-05,0.0010520734026564
2015-03-13,0.0608776535505928,0.4504045277590817,0.1697950935690785,0.580842559733178,6.406141173926392e-05,1.7510018644105255e-05,8.943556344747576e-05,6.143130578185521e-05,0.0010456222541928
2015-03-14,0.0612814145442542,0.4456189234031624,0.1749810840111656,0.5783289909730998,6.365939987896472e-05,1.7750498633039933e-05,8.976795251319753e-05,6.171198703878648e-05,0.0010333995144331
